query_id,consensus_law,style,query_text,gold_label_mentioned,any_law_mentioned,mentioned_laws
UStG_T047_nl_short_v02,UStG,nl_short,Welche Kosten/Risiken gibt es bei Reverse-Charge bei Bauleistungen/Leistungen aus dem Ausland - Aufschiebende Wirkung?,False,False,
EKHG_T008_keyword_v02,EKHG,keyword,haftung verkehrsunfall zwischen straßenbahn motorrad ausnahmen wiener neustadt 450eur online portal bescheid frist,False,False,
B-VG_T035_authority_v03,B-VG,authority,Bei Legalitätsprinzip im Verwaltungsverfahren - Nachweise/Beweise: Muss ich zu Bezirkshauptmannschaft oder zum Gericht?,False,False,
MeldeG_T017_scenario_v01,MeldeG,scenario,Sachverhalt: vor 2 Wochen in Leoben: Berichtigung falscher Meldedaten - Zuständigkeit. Es liegt ein Schreiben/Bescheid von Landesgericht vor. Frage: Welche Rechtsfolgen drohen bei Verstoß?,False,False,
AsylG_T033_procedural_v01,AsylG,procedural,"Welche Formvorschriften gelten bei Recht auf Rechtsberatung - Haftung - Subsidiärer Schutz (schriftlich, Frist, Begründung)?",False,False,
ZPO_T006_authority_v03,ZPO,authority,Zivilprozess: Klage wegen Schadenersatz und Vergleich: Haftung - Beweisaufnahme: Zuständigkeit Finanzamt vs Gericht - und welche Frist?,False,False,
BWG_T013_nl_long_v02,BWG,nl_long,im Sommer 2026 in Salzburg: Frage zu Sicherheiten und Pfandrecht: Rechtsmittel. Dokumentiert durch Lieferschein. Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen?,False,False,
AWG_T036_nl_short_v01,AWG,nl_short,Zuständigkeit zu Entsorgungspflicht für gefährliche Abfälle: was sind die Voraussetzungen?,False,False,
VersVG_T053_procedural_v01,VersVG,procedural,"Wie läuft das Verfahren bei Deckungsablehnung durch Versicherung - Rechtsmittel ab (Frist, Antrag, Nachweise, Kosten)?",False,False,
UWG_T042_scenario_v03,UWG,scenario,Kurzfall: Durchsetzung zu Irreführende Werbung im Online-Shop - Konsument:in (Ried im Innkreis) vs Unternehmen. Es geht um 4800 EUR. Welche Regelungen sind einschlägig? - bitte mit Hinweis zu Fristen und Zuständigkeit.,False,False,
AngG_T040_nl_short_v01,AngG,nl_short,Konkurrenzklausel: Schadenersatzpflichten - Ausnahmen - was gilt? (nach AngG),True,True,AngG
FSG_T001_scenario_v02,FSG,scenario,Sachverhalt: gestern in Wels: Zustellung zu Probezeit-Führerschein und Verlängerung. Belege: E-Mail-Korrespondenz. Unklar ist die Zuständigkeit (Landesgericht oder Gericht). Frage: Welche Ansprüche kann ich geltend machen?,False,False,
BAO_T058_nl_short_v03,BAO,nl_short,Gibt es bei Frist/Verspätung bei Steuererklärung und Nachsicht: Durchsetzung Ausnahmen?,False,False,
VersG_T050_authority_v03,VersG,authority,Störung/Blockade und Folgen: Durchsetzung: Wie bringe ich das bei VfGH ein (Form/Frist)?,False,False,
ZPO_T027_scenario_v03,ZPO,scenario,Anfang Dezember 2025 in Ried im Innkreis: Zivilprozess: Klage wegen Zahlungsverzug und Beweisantrag: Verjährung. Nachweis: Bescheid. Unklar ist die Zuständigkeit (Magistrat oder Gericht). Thema: Berufung. Welche Regelungen sind einschlägig? - bitte mit Hinweis zu Fristen und Zuständigkeit. - ZPO,True,True,ZPO
StbG_T003_authority_v01,StbG,authority,Welche Stelle ist zuständig bei Frage zu Einbürgerung: Mindestaufenthalt und Voraussetzungen: Zustellung - Doppelstaatsbürgerschaft (z.B. Bezirkshauptmannschaft)?,False,False,
WGG_T059_authority_v01,WGG,authority,Kaution und Rueckzahlung - Verjaehrung: Zustaendigkeit VfGH vs Gericht - und welche Frist?,False,False,
VersVG_T043_keyword_v01,VersVG,keyword,beweislast obliegenheitsverletzung durchsetzung wien 2300eur online portal bescheid februar 2026 bezirkshauptmannschaft nachweis kosten,False,False,
UG_T012_nl_short_v01,UG,nl_short,Studienplan und ECTS - Sanktionen - brauche ich einen Antrag/Nachweis? - UG,True,True,UG
VwGVG_T016_procedural_v01,VwGVG,procedural,Mündliche Verhandlung vor dem Verwaltungsgericht und Formvorschriften: Form/Antrag: Zuständigkeit und Verfahrensschritte (Antrag/Bescheid/Beschwerde).,False,False,
VersVG_T014_nl_short_v02,VersVG,nl_short,Regress der Versicherung - Zustellung (Rücktritt): Behörde oder Gericht?,False,False,
EStG_T032_nl_long_v01,EStG,nl_long,Ich bin Geschäftsführer:in in Wiener Neustadt. im September 2024 gab es mit Bank ein Problem: Arbeitnehmerveranlagung: Werbungskosten geltend machen: Rechtsmittel. Kontakt über persönlich am Schalter. Nachweis: Bescheid. Unklar ist die Zuständigkeit (Bezirksgericht oder Gericht). Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen?,False,False,
ElWOG_T010_nl_long_v02,ElWOG,nl_long,vor 2 Wochen in St. Pölten: Frage zu Stromabschaltung: Voraussetzungen: Haftung. Dokumentiert durch Antrag. Es liegt ein Schreiben/Bescheid von VwGH vor. Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen?,False,False,
GmbHG_T016_nl_long_v02,GmbHG,nl_long,vor einem Monat in Graz: Gesellschafterbeschluss: Stimmverbot: Form/Antrag. Belege: E-Mail-Korrespondenz. Es liegt ein Schreiben/Bescheid von Bezirksgericht vor. Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen? unter Bezug auf GmbHG,True,True,GmbHG
AktG_T002_keyword_v01,AktG,keyword,kapitalmaßnahmen kapitalherabsetzung haftung schwechat 1750eur einschreiben zeug innen vor 18 monaten nachweis kosten,False,False,
StGB_T044_procedural_v03,StGB,procedural,Bei Sachbeschädigung an Smartphone - Aufschiebende Wirkung: Welche Rechtsmittel gibt es und hat eine Beschwerde aufschiebende Wirkung?,False,False,
VwGVG_T052_nl_long_v01,VwGVG,nl_long,"Sachverhalt (Innsbruck, letzte Woche): Mündliche Verhandlung vor dem Verwaltungsgericht und Parteistellung: Verjährung. Beteiligte: Mieter:in vs Arztpraxis. Unklar ist die Zuständigkeit (Magistrat oder Gericht). Welche Rechtslage gilt und welche Schritte sind sinnvoll?",False,False,
FinStrG_T002_keyword_v01,FinStrG,keyword,abgabenhinterziehung tatbestand vorsatz aufschiebende wirkung amstetten 950eur online portal chatverlauf kurz frist zuständigkeit - FinStrG,True,True,FinStrG
EheG_T005_authority_v03,EheG,authority,Aufteilung eheliches Gebrauchsvermögen und Ersparnisse: Ausnahmen: Zuständigkeit Bezirksgericht vs Gericht - und welche Frist?,False,False,
BAO_T016_procedural_v02,BAO,procedural,"Welche Formvorschriften gelten bei Stundung/Ratenzahlung von Abgaben und Begründungspflicht: Durchsetzung (schriftlich, Frist, Begründung)?",False,False,
KAKuG_T033_nl_short_v02,KAKuG,nl_short,Gibt es bei Pflegegebühren und Kostenersatz: Sanktionen Ausnahmen? (nach KAKuG),True,True,KAKuG
GlBG_T037_procedural_v02,GlBG,procedural,Frage zu Diskriminierung im Job wegen Alter: Nachweise/Beweise: Zuständigkeit und Verfahrensschritte (Antrag/Bescheid/Beschwerde).,False,False,
PSG_T038_keyword_v01,PSG,keyword,rechnungslegung prüfung sanktionen feldkirch 12500eur hotline rechnung september 2024 bezirksgericht begünstigte verfahren beschwerde,False,False,
AVRAG_T013_nl_short_v03,AVRAG,nl_short,Frage zu Entsendung nach Österreich: Arbeitsbedingungen: Fristen (Entsendung) - brauche ich einen Antrag/Nachweis?,False,False,
AZG_T056_procedural_v02,AZG,procedural,Bei Frage zu Gleitzeitvereinbarung und Grenzen: Nachweise/Beweise: Welche Rechtsmittel gibt es und hat eine Beschwerde aufschiebende Wirkung?,False,False,
GewO_T033_nl_short_v01,GewO,nl_short,Überprüfung durch Behörde (Kontrolle) - Fristen: Behörde oder Gericht?,False,False,
AktG_T009_nl_long_v02,AktG,nl_long,Kurzfall: Kapitalmaßnahmen: Kapitalherabsetzung: Kosten/Gebühren - Handwerker:in (Wiener Neustadt) vs Arbeitgeber:in. Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen? - AktG,True,True,AktG
AktG_T021_fragment_v01,AktG,fragment,Hauptversammlung: Auskunftsrecht: Durchsetzung (Satzung) Landesgericht,False,False,
EKHG_T030_nl_long_v03,EKHG,nl_long,Kurzfall: Halterhaftung vs Lenkerhaftung bei Unfall mit Fahrrad - Voraussetzungen - Nachbar:in (Schwechat) vs Gemeinde. Kontakt über E-Mail. Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen? (nach EKHG),True,True,EKHG
VersG_T020_fragment_v01,VersG,fragment,Gegendemonstration und Abgrenzung: Fristen 780eur,False,False,
ECG_T026_fragment_v01,ECG,fragment,Zustellung zu Impressumspflicht für Vereinswebsite frist,False,False,
GlBG_T053_keyword_v01,GlBG,keyword,frage diskriminierung job wegen alter zuständigkeit salzburg 780eur mail rechnung jänner verfahren beschwerde (nach GlBG),True,True,GlBG
ZustG_T009_nl_short_v02,ZustG,nl_short,Nachweisprobleme bei Zustellung: Durchsetzung - Fristbeginn - was gilt?,False,False,
FPG_T038_scenario_v03,FPG,scenario,im Februar 2026 in Krems: Rechtsberatung und Verfahrenshilfe: Aufschiebende Wirkung. Welche Regelungen sind einschlägig? - bitte mit Hinweis zu Fristen und Zuständigkeit.,False,False,
EO_T042_authority_v02,EO,authority,Fristen zu Exekution auf Bankguthaben: Wie bringe ich das bei Bezirksgericht ein (Form/Frist)?,False,False,
VKG_T039_authority_v02,VKG,authority,Welche Stelle ist zuständig bei Teilung der Karenz zwischen Elternteilen: Karenz im Anschluss an Mutterschutz und Teilzeit im Anschluss - Karenzmeldung (z.B. VfGH)?,False,False,
IO_T010_nl_long_v01,IO,nl_long,"Kurzfall: Frage zu Sanierungsverfahren mit/ohne Eigenverwaltung: Ausnahmen - Handwerker:in (Wels) vs Insolvenzverwalter:in. Kommunikation via E-Mail. Es geht um 1200 EUR. Welche Voraussetzungen sind relevant, welche Nachweise brauche ich und wo ist einzubringen?",False,False,
AVG_T053_nl_short_v03,AVG,nl_short,Bescheidzustellung und Fristenlauf bei Führerscheinmaßnahme - Durchsetzung - was gilt?,False,False,
UStG_T002_fragment_v02,UStG,fragment,Rechnungserfordernisse und Berichtigung - Voraussetzungen frist (gemäß UStG),True,True,UStG
B-VG_T024_keyword_v02,B-VG,keyword,faires verfahren verfassunglich zuständigkeit spittal drau 4800eur mail lieferschein frühjahr 2026,False,False,
APG_T009_fragment_v01,APG,fragment,Frage zu Teilpension/Zuverdienst: Haftung - Pensionskonto frist (nach APG),True,True,APG
VKG_T002_nl_long_v01,VKG,nl_long,Kurzfall: Teilung der Karenz zwischen Elternteilen: Karenz im Anschluss an Mutterschutz und Kündigungsschutz - Kund:in (Feldkirch) vs Arztpraxis. Welche Ansprüche/Rechtsfolgen koommen in Betracht und welche Fristen laufen?,False,False,
StbG_T015_keyword_v02,StbG,keyword,frage einbürgerung mindestaufenthalt voraussetzungen nachweise beweise spittal drau 12500eur chat zeug bescheid frist,False,False,
GrEStG_T027_authority_v01,GrEStG,authority,Anteilsvereinigung/Share Deal und GrESt: Ausnahmen: Zuständigkeit Magistrat vs Gericht - und welche Frist?,False,False,
VerG_T057_nl_short_v02,VerG,nl_short,Was kann ich bei Vereinsgründung: Vereinsinterne Streitigkeiten: Durchsetzung tun?,False,False,
KAKuG_T050_scenario_v03,KAKuG,scenario,Sachverhalt: Ich bin Arbeitgeber:in in Graz. vor 12 Monaten gab es mit Arztpraxis ein Problem: Zuständigkeit und Verfahren: Durchsetzung. Kontakt über Einschreiben. Es liegt ein Schreiben/Bescheid von Finanzamt vor. Frage: Welche Rechtsfolgen drohen bei Verstoß?,False,False,
KartG_T060_fragment_v01,KartG,fragment,Frage zu Bußgeldverfahren und Bemessung: Voraussetzungen zuständig (gemäß KartG),True,True,KartG
GlBG_T003_fragment_v02,GlBG,fragment,Frage zu Benachteiligung bei Bewerbung/Entlohnung wegen ethnischer Herkunft: Nachweise/Beweise vor einem Monat,False,False,
FPG_T005_scenario_v01,FPG,scenario,Kontext: im Februar 2026 in Amstetten: Abschiebung und Duldung: Haftung. Dokumentiert durch Bescheid. Welche Rechtsfolgen drohen bei Verstoß? (Frist/Zuständigkeit/Nachweis),False,False,
FAGG_T029_scenario_v02,FAGG,scenario,Sachverhalt: vor einem Monat in Klagenfurt: Frage zu Widerrufsfrist und Belehrung bei Werkstattauftrag online abgeschlossen: Ausnahmen. Dokumentiert durch Vertrag. Frage: Welche Regelungen sind einschlägig?,False,False,
EKHG_T012_keyword_v02,EKHG,keyword,ansprüche mitfahrer unfall mit motorrad kosten gebühren ried innkreis 4800eur telefon,False,False,
VerG_T012_procedural_v02,VerG,procedural,Bei Vereinsregistereintragung: Voraussetzungen: Welche Rechtsmittel gibt es und hat eine Beschwerde aufschiebende Wirkung?,False,False,
VwGVG_T015_scenario_v01,VwGVG,scenario,"Fall: Sachverhalt (Amstetten, Anfang Dezember 2025): Aufschiebende Wirkung einer Beschwerde und Begründung. Beteiligte: Arbeitnehmer:in vs Reiseveranstalter. Es geht um 780 EUR. Nachweis: Rechnung. Welche Rechte und Pflichten bestehen?",False,False,
WRG_T027_procedural_v02,WRG,procedural,Frage zu Wasserschutzgebiet und Auflagen: Rechtsmittel: Zuständigkeit und Verfahrensschritte (Antrag/Bescheid/Beschwerde).,False,False,
EO_T001_fragment_v02,EO,fragment,Zwangsversteigerung: Aufschiebende Wirkung zu Pfändungsfreigrenzen und Existenzminimum Villach,False,False,
UrlG_T017_nl_short_v03,UrlG,nl_short,Welche Sanktionen drohen bei Urlaubsverbrauch und Zustimmung: Zustellung - Urlaubsanspruch?,False,False,
EKHG_T010_fragment_v01,EKHG,fragment,Mitverschulden und Schadenersatz bei Unfall mit Motorrad - Form/Antrag frist,False,False,
KSchG_T003_authority_v01,KSchG,authority,bei verbraucher: frage zu kündigungsfrist und vertragsbindung bei mobilfunkvertrag: voraussetzungen: muss ich zu bezirksgericht oder zum gericht?,False,False,
NoVAG_T009_procedural_v01,NoVAG,procedural,"Sanktionen zu NoVA bei Leasing: Welche Fristen gelten, was sind typische Nachweise und wer entscheidet?",False,False,
APG_T052_keyword_v03,APG,keyword,frage beschwerde pensionsbescheid verjährung pölten 2300eur einschreiben rechnung frühjahr 2026 landesgericht frist zuständigkeit - APG,True,True,APG
SMG_T041_fragment_v01,SMG,fragment,Sicherstellung: Anzeige und Rechte bei Polizeikontrolle - Nachweise/Beweise frist,False,False,
UWG_T008_authority_v02,UWG,authority,Welche Stelle ist zuständig bei Zustellung zu Aggressive Geschäftspraktiken und Druck (z.B. Handelsgericht)?,False,False,
ElWOG_T049_scenario_v02,ElWOG,scenario,"Sachverhalt (St. Pölten, gestern): Frage zu Vertrag kündigen und Endabrechnung: Zuständigkeit. Beteiligte: Konsument:in vs Stromanbieter. Betrag: 780 EUR. Dokumentiert durch Antrag. Es liegt ein Schreiben/Bescheid von E-Control vor. Welche Rechtsfolgen drohen bei Verstoß? - bitte mit Hinweis zu Fristen und Zuständigkeit.",False,False,
VKG_T049_nl_short_v02,VKG,nl_short,Vorankündigungsfrist: Kündigungs-/Entlassungsschutz in der Väterkarenz und Sonderfälle (Früh-/Mehrlingsgeburt): was sind die Voraussetzungen?,False,False,
EStG_T020_keyword_v01,EStG,keyword,sachbezug dienstwagen zuständigkeit spittal drau 150eur persönlich schalter antrag frühjahr 2026 verfahren beschwerde unter Bezug auf EStG,True,True,EStG
VersVG_T029_scenario_v03,VersVG,scenario,Kontext: Kurzfall: Prämienverzug und Kündigung - Aufschiebende Wirkung - Studierende:r (Spittal an der Drau) vs Gemeinde. Betrag: 5200 EUR. Welche Rechtsfolgen drohen bei Verstoß? (Frist/Zuständigkeit/Nachweis),False,False,
FinStrG_T001_nl_short_v03,FinStrG,nl_short,Welche Kosten/Risiken gibt es bei Absehen von Strafe (Diversion) im Finanzstrafrecht - Aufschiebende Wirkung?,False,False,
EStG_T044_authority_v03,EStG,authority,Außergewöhnliche Belastung (Krankheitskosten): Kosten/Gebühren: Wie bringe ich das bei Bezirkshauptmannschaft ein (Form/Frist)? (gemäß EStG),True,True,EStG
KAKuG_T009_fragment_v03,KAKuG,fragment,Haftung bei Behandlungsfehler (Abgrenzung ABGB): Verjährung 4800eur,False,True,ABGB
ZPO_T038_keyword_v01,ZPO,keyword,beweisaufnahme zeug innen gutachten vergleich linz 80eur mail mietvertrag kurz vor frist zuständigkeit (gemäß ZPO),True,True,ZPO
PSG_T021_keyword_v02,PSG,keyword,privatstiftung gründen stiftungsurkunde fristen ried innkreis 1200eur persönlich schalter protokoll vor frist zuständigkeit?,False,False,
VfGG_T025_scenario_v01,VfGG,scenario,Ich bin Patient:in in Wien. vor 6 Monaten gab es mit Gemeinde ein Problem: Frage zu Aufschiebende Wirkung/Provisorische Maßnahmen: Durchsetzung. Betrag: 19900 EUR. Kontakt über Chat. Unklar ist die Zuständigkeit (VfGH oder Gericht). Welche Ansprüche kann ich geltend machen? - bitte mit Hinweis zu Fristen und Zuständigkeit. (nach VfGG),True,True,VfGG
GSVG_T049_nl_long_v01,GSVG,nl_long,Ich bin Lenker:in in Villach. im Sommer 2026 gab es mit Bank ein Problem: Frage zu Krankenversicherung: Leistungen und Anspruch: Kosten/Gebühren. Es geht um 12500 EUR. Kontakt über Online-Portal. Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen?,False,False,
MSchG_T045_scenario_v02,MSchG,scenario,Fall: Kurzfall: Mutterschutzfrist vor/nach Geburt und Freistellung: Aufschiebende Wirkung - Arbeitgeber:in (Villach) vs Versicherung. Betrag: 780 EUR. Welche Rechte und Pflichten bestehen?,False,False,
KartG_T058_nl_short_v03,KartG,nl_short,Frage zu Hausdurchsuchung (Dawn Raid) und Rechte: Nachweise/Beweise (Fusionskontrolle): welche Frist gilt?,False,False,
BWG_T013_nl_short_v03,BWG,nl_short,Was kann ich bei Frage zu Sicherheiten und Pfandrecht: Rechtsmittel tun?,False,False,
VfGG_T032_fragment_v01,VfGG,fragment,Frage zu Frist und Form der VfGH-Beschwerde: Fristen (Beschwerde VfGH) Linz,False,False,
AngG_T007_keyword_v02,AngG,keyword,urlaubsansprüche abgrenzung urlg ausnahmen amstetten 590eur chat vertrag letzte woche finanzamt bescheid frist,False,True,UrlG
FinStrG_T040_nl_long_v03,FinStrG,nl_long,Ich bin Lenker:in in Wien. im Februar 2026 gab es mit Bank ein Problem: Verjährung im Finanzstrafverfahren - Aufschiebende Wirkung. Es geht um 590 EUR. Unklar ist die Zuständigkeit (VfGH oder Gericht). Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen?,False,False,
EKHG_T016_nl_short_v03,EKHG,nl_short,Ansprüche von Mitfahrer:in nach Unfall mit Straßenbahn - Durchsetzung - brauche ich einen Antrag/Nachweis?,False,False,
EheG_T029_nl_short_v01,EheG,nl_short,Scheidung aus Verschulden: Beweis und Rechtsfolgen: Sanktionen - was gilt? unter Bezug auf EheG,True,True,EheG
ABGB_T040_nl_long_v01,ABGB,nl_long,"im Sommer 2026 in Wiener Neustadt: Gewährleistung bei Kühlschrank wegen Falschlieferung. Nachweis: Angebot. Unklar ist die Zuständigkeit (Bezirksgericht oder Gericht). Wie gehe ich praktisch vor (Frist, Zuständigkeit, Beweise, Kosten)?",False,False,
VwGVG_T028_scenario_v02,VwGVG,scenario,Kontext: Ich bin Aktionär:in in Dornbirn. vor 18 Monaten gab es mit Vermieter:in ein Problem: Mündliche Verhandlung vor dem Verwaltungsgericht und Beweisanträge: Ausnahmen. Kommunikation via persönlich am Schalter. Belege: Angebot. Es liegt ein Schreiben/Bescheid von Landesverwaltungsgericht vor. Welche Rechte und Pflichten bestehen? (Frist/Zuständigkeit/Nachweis),False,False,
KStG_T059_keyword_v01,KStG,keyword,mindest köst fälligkeit kosten gebühren salzburg 450eur webformular fotos vor 12 nachweis kosten,False,False,
KJBG_T018_keyword_v02,KJBG,keyword,frage nachtarbeit überstundenverbot 16 17 jahren bau verjährung pölten 780eur online bescheid frist unter Bezug auf KJBG,True,True,KJBG
EheG_T027_nl_short_v01,EheG,nl_short,Welche Sanktionen drohen bei Eheliche Aufteilung bei gemeinsamem Kredit: Fristen?,False,False,
UrlG_T017_procedural_v02,UrlG,procedural,Bei Urlaubsverbrauch und Zustimmung: Zustellung: Welche Rechtsmittel gibt es und hat eine Beschwerde aufschiebende Wirkung?,False,False,
DSGVO_T021_procedural_v01,DSGVO,procedural,"Wie läuft das Verfahren bei Durchsetzung zu Löschung/Recht auf Vergessenwerden ab (Frist, Antrag, Nachweise, Kosten)?",False,False,
AlVG_T047_scenario_v03,AlVG,scenario,Ich bin Kund:in in Krems. im September 2024 gab es mit Arbeitgeber:in ein Problem: Krankenstand während Arbeitslosigkeit - Form/Antrag. Es geht um 4800 EUR. Es liegt ein Schreiben/Bescheid von Landesgericht vor. Welche Fristen und welches Verfahren sind zu beachten? - bitte mit Hinweis zu Fristen und Zuständigkeit.,False,False,
AngG_T008_scenario_v03,AngG,scenario,Ich bin Vermieter:in in Wels. vor einem Monat gab es mit Werkstatt ein Problem: Entlassung: Gründe und Anfechtung - Form/Antrag. Betrag: 4800 EUR. Kommunikation via Webformular. Unklar ist die Zuständigkeit (Landesverwaltungsgericht oder Gericht). Welche Rechte und Pflichten bestehen? - bitte mit Hinweis zu Fristen und Zuständigkeit.,False,False,
VKG_T025_scenario_v03,VKG,scenario,Ich bin Vater (Arbeitnehmer) in Innsbruck. vor 2 Wochen gab es mit Arbeitgeber:in ein Problem: Meldung der Väterkarenz beim Arbeitgeber: 3-Monats-Vorankündigung und Rückkehrrecht. Es geht um 950 EUR. Dokumentiert durch Antrag. Unklar ist die Zuständigkeit (Arbeits- und Sozialgericht Wien oder Gericht). Welche Rechte und Pflichten bestehen? - bitte mit Hinweis zu Fristen und Zuständigkeit.,False,False,
AktG_T002_procedural_v03,AktG,procedural,"Welche Formvorschriften gelten bei Kapitalerhöhung: Kapitalmaßnahmen: Kapitalherabsetzung: Haftung (schriftlich, Frist, Begründung)?",False,False,
FSG_T041_nl_long_v03,FSG,nl_long,"Ich bin Unternehmer:in in Dornbirn. vor 18 Monaten gab es mit Arztpraxis ein Problem: Aufschiebende Wirkung zu Punkte und Maßnahmenstufen. Es geht um 1200 EUR. Kommunikation via persönlich am Schalter. Nachweis: Mahnung. Unklar ist die Zuständigkeit (Magistrat oder Gericht). Wie gehe ich praktisch vor (Frist, Zuständigkeit, Beweise, Kosten)?",False,False,
BEinstG_T043_nl_short_v03,BEinstG,nl_short,Welche Rechte/Pflichten habe ich bei Förderungen für Arbeitgeber:innen - Haftung?,False,False,
IG-L_T006_fragment_v01,IG-L,fragment,Einwendungen gegen Verordnung: Zustellung Leoben,False,False,
PatG_T015_procedural_v02,PatG,procedural,Bei Nichtigkeitsverfahren gegen Patent: Voraussetzungen (Patent): Welche Rechtsmittel gibt es und hat eine Beschwerde aufschiebende Wirkung?,False,False,
AktG_T050_keyword_v03,AktG,keyword,anfechtung eines beschlusses wegen gesetzesverstoß kosten gebühren pölten 7900eur einschreiben lieferschein frist zuständigkeit,False,False,
WGG_T034_procedural_v03,WGG,procedural,"Welche Formvorschriften gelten bei Befristung/Weitergabe von WGG-Wohnungen - Voraussetzungen (schriftlich, Frist, Begründung)?",True,True,WGG
UrhG_T036_nl_long_v02,UrhG,nl_long,"Sachverhalt (Spittal an der Drau, Anfang Dezember 2025): Lizenzen (Creative Commons) richtig nutzen: Zuständigkeit. Beteiligte: Beschuldigte:r vs Versicherung. Dokumentiert durch Lieferschein. Unklar ist die Zuständigkeit (Landesverwaltungsgericht oder Gericht). Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen?",False,False,
StGB_T020_nl_long_v02,StGB,nl_long,"Sachverhalt (Krems, Anfang Dezember 2025): Diebstahl/Unterschlagung von Smartphone. Beteiligte: Aktionär:in vs Polizei. Betrag: 590 EUR. Belege: Rechnung. Unklar ist die Zuständigkeit (Landesgericht oder Gericht). Welche Rechtslage gilt und welche Schritte sind sinnvoll? (nach StGB)",True,True,StGB
